fecha,año,mes,dia_año,estacion_seca,grid_lat,grid_lon,temperatura_max,temperatura_min,temperatura_media,humedad_relativa,viento_max,precipitacion_dia,precipitacion_7d,precipitacion_14d,precipitacion_30d,incendio
2013-05-04,2013,5,124,0,3.515,-76.565,23.3,16.5,19.2,87.0,6.5,6.8,0.0,0.0,0.0,0
2013-05-04,2013,5,124,0,3.345,-76.55,26.6,19.6,22.2,80.0,7.8,7.4,0.0,0.0,0.0,0
2013-09-06,2013,9,249,0,3.49,-76.535,21.7,17.3,19.4,86.0,8.0,39.2,0.0,0.0,0.0,0
2013-09-11,2013,9,254,0,3.455,-76.635,21.9,14.4,18.0,86.0,7.1,7.3,0.0,0.0,0.0,0
2013-09-20,2013,9,263,0,3.315,-76.585,25.1,14.4,20.4,82.0,8.7,0.0,13.2,74.89999999999999,89.39999999999999,0
2013-10-21,2013,10,294,0,3.535,-76.51,22.0,17.0,18.8,90.0,8.8,35.7,207.6,430.8,1122.7,0
2013-12-18,2013,12,352,1,3.4,-76.5,22.7,18.4,20.2,91.0,7.8,24.0,320.0,524.5,1053.5,0
2014-01-22,2014,1,22,1,3.47,-76.51,21.9,17.7,19.3,87.0,6.1,6.9,21.7,73.2,306.99999999999994,1
2014-04-06,2014,4,96,0,3.52,-76.56,24.7,17.2,20.5,82.0,9.0,12.3,87.2,224.5,462.40000000000003,0
2014-05-20,2014,5,140,0,3.345,-76.535,23.7,18.1,20.5,85.0,10.4,12.5,26.0,122.89999999999999,215.19999999999996,0
2014-07-31,2014,7,212,1,3.51,-76.64,23.8,13.8,18.9,80.0,4.3,0.2,27.4,55.70000000000001,134.5,0
2014-09-01,2014,9,244,0,3.45,-76.605,23.5,14.8,19.2,83.0,10.7,17.0,204.29999999999998,399.8,929.0000000000001,1
2014-11-01,2014,11,305,0,3.355,-76.46,24.3,19.3,21.1,80.0,6.7,4.1,121.49999999999999,164.10000000000002,249.1,0
2014-11-24,2014,11,328,0,3.415,-76.485,23.8,19.2,21.4,84.0,6.0,27.1,138.20000000000002,375.5,652.1,0
2014-12-30,2014,12,364,1,3.52,-76.545,23.9,16.0,19.9,89.0,7.4,3.3,74.7,120.2,360.90000000000003,0
2015-01-21,2015,1,21,1,3.36,-76.65,17.3,12.7,14.3,91.0,7.6,19.7,46.1,62.5,89.4,0
2015-02-09,2015,2,40,1,3.47,-76.45,20.5,17.6,18.7,87.0,6.9,8.9,155.79999999999998,258.9,602.3,0
2015-03-02,2015,3,61,0,3.45,-76.61,22.2,17.3,19.2,89.0,7.1,10.4,51.7,83.10000000000001,242.7,0
2015-05-25,2015,5,145,0,3.305,-76.555,24.2,18.5,20.9,81.0,7.4,11.5,21.5,23.2,50.89999999999999,0
2015-08-29,2015,8,241,1,3.545,-76.53,24.7,15.8,20.2,84.0,7.4,3.4,43.699999999999996,86.30000000000003,177.10000000000002,1
2015-12-29,2015,12,363,1,3.31,-76.555,26.6,16.7,22.1,79.0,7.9,0.0,1.4000000000000001,10.3,30.2,0
2016-05-29,2016,5,150,0,3.45,-76.605,21.0,17.3,19.0,89.0,8.3,64.0,175.8,261.4,705.2,0
2017-01-17,2017,1,17,1,3.355,-76.465,22.1,17.5,20.0,90.0,7.6,5.9,82.19999999999999,138.5,378.80000000000007,0
